Treatment,Cage_ID,Sampling_day,Date_setup_cage,Aphid_clone,plant_height,Plant_Age,Planted_on,No_of_leaves,Position_of_cage,Climate_chamber,Aphids,Ladybird_adults,Ladybird_larvae,Total_ladybirds,Plant_survival,Aphids_orig,Total_ladybirds_orig,Plant_survival_orig,Aphids_flag,Ladybirds_flag,Survival_flag
Dropper,1,-2,6/29/2024,1,,5,5/23/2024,55,1,W2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dropper,1,0,6/29/2024,1,,5,5/23/2024,55,1,W2,198,3,0,3,1,198,3,1,Observed,Observed,Observed
Dropper,1,1,6/29/2024,1,,5,5/23/2024,55,1,W2,98,3,0,3,1,98,3,1,Observed,Observed,Observed
Dropper,1,2,6/29/2024,1,,5,5/23/2024,55,1,W2,59,3,0,3,1,59,3,1,Observed,Observed,Observed
Dropper,1,3,6/29/2024,1,,5,5/23/2024,55,1,W2,24,3,0,3,1,24,3,1,Observed,Observed,Observed
Dropper,1,4,6/29/2024,1,,5,5/23/2024,55,1,W2,11,3,0,3,1,11,3,1,Observed,Observed,Observed
Dropper,1,5,6/29/2024,1,,5,5/23/2024,55,1,W2,13,3,0,3,1,13,3,1,Observed,Observed,Observed
Dropper,1,6,6/29/2024,1,,5,5/23/2024,55,1,W2,5,3,0,3,1,5,3,1,Observed,Observed,Observed
Dropper,1,7,6/29/2024,1,,5,5/23/2024,55,1,W2,15,3,0,3,1,15,3,1,Observed,Observed,Observed
Dropper,1,8,6/29/2024,1,,5,5/23/2024,55,1,W2,4,3,11,14,1,4,14,1,Observed,Observed,Observed
Dropper,1,9,6/29/2024,1,,5,5/23/2024,55,1,W2,2,3,26,29,1,2,29,1,Observed,Observed,Observed
Dropper,1,10,6/29/2024,1,,5,5/23/2024,55,1,W2,1,3,6,9,1,1,9,1,Observed,Observed,Observed
Dropper,1,11,6/29/2024,1,,5,5/23/2024,55,1,W2,1,3,5,8,1,1,8,1,Observed,Observed,Observed
Dropper,1,12,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,5,8,1,0,8,1,Observed,Observed,Observed
Dropper,1,13,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,2,5,1,0,5,1,Observed,Observed,Observed
Dropper,1,14,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,15,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,1,4,1,0,4,1,Observed,Observed,Observed
Dropper,1,16,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,17,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,18,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,19,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,20,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,21,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,22,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,23,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,1,24,6/29/2024,1,,5,5/23/2024,55,1,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Non-dropper,2,-2,6/29/2024,1,,5,5/23/2024,61,2,W2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Non-dropper,2,0,6/29/2024,1,,5,5/23/2024,61,2,W2,162,3,0,3,1,162,3,1,Observed,Observed,Observed
Non-dropper,2,1,6/29/2024,1,,5,5/23/2024,61,2,W2,194,3,0,3,1,194,3,1,Observed,Observed,Observed
Non-dropper,2,2,6/29/2024,1,,5,5/23/2024,61,2,W2,182,3,0,3,1,182,3,1,Observed,Observed,Observed
Non-dropper,2,3,6/29/2024,1,,5,5/23/2024,61,2,W2,172,3,0,3,1,172,3,1,Observed,Observed,Observed
Non-dropper,2,4,6/29/2024,1,,5,5/23/2024,61,2,W2,105,3,0,3,1,105,3,1,Observed,Observed,Observed
Non-dropper,2,5,6/29/2024,1,,5,5/23/2024,61,2,W2,112,3,0,3,1,112,3,1,Observed,Observed,Observed
Non-dropper,2,6,6/29/2024,1,,5,5/23/2024,61,2,W2,118,3,0,3,1,118,3,1,Observed,Observed,Observed
Non-dropper,2,7,6/29/2024,1,,5,5/23/2024,61,2,W2,116,3,0,3,1,116,3,1,Observed,Observed,Observed
Non-dropper,2,8,6/29/2024,1,,5,5/23/2024,61,2,W2,156,3,0,3,1,156,3,1,Observed,Observed,Observed
Non-dropper,2,9,6/29/2024,1,,5,5/23/2024,61,2,W2,282,3,14,17,1,282,17,1,Observed,Observed,Observed
Non-dropper,2,10,6/29/2024,1,,5,5/23/2024,61,2,W2,337,3,10,13,1,337,13,1,Observed,Observed,Observed
Non-dropper,2,11,6/29/2024,1,,5,5/23/2024,61,2,W2,326,3,7,10,1,326,10,1,Observed,Observed,Observed
Non-dropper,2,12,6/29/2024,1,,5,5/23/2024,61,2,W2,476,3,1,4,1,476,4,1,Observed,Observed,Observed
Non-dropper,2,13,6/29/2024,1,,5,5/23/2024,61,2,W2,526,3,6,9,1,526,9,1,Observed,Observed,Observed
Non-dropper,2,14,6/29/2024,1,,5,5/23/2024,61,2,W2,752,3,7,10,1,752,10,1,Observed,Observed,Observed
Non-dropper,2,15,6/29/2024,1,,5,5/23/2024,61,2,W2,780,3,5,8,1,780,8,1,Observed,Observed,Observed
Non-dropper,2,16,6/29/2024,1,,5,5/23/2024,61,2,W2,1122,3,5,8,1,1122,8,1,Observed,Observed,Observed
Non-dropper,2,17,6/29/2024,1,,5,5/23/2024,61,2,W2,1092,3,5,8,1,1092,8,1,Observed,Observed,Observed
Non-dropper,2,18,6/29/2024,1,,5,5/23/2024,61,2,W2,1069,3,7,10,1,1069,10,1,Observed,Observed,Observed
Non-dropper,2,19,6/29/2024,1,,5,5/23/2024,61,2,W2,1067,3,11,14,1,1067,14,1,Observed,Observed,Observed
Non-dropper,2,20,6/29/2024,1,,5,5/23/2024,61,2,W2,1089,3,26,29,1,1089,29,1,Observed,Observed,Observed
Non-dropper,2,21,6/29/2024,1,,5,5/23/2024,61,2,W2,2000,3,7,10,1,2000,10,1,Observed,Observed,Observed
Non-dropper,2,22,6/29/2024,1,,5,5/23/2024,61,2,W2,2300,3,26,29,1,2300,29,1,Observed,Observed,Observed
